S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,622482,10311,632793,61.03
2,ANAND SHARMA,Indian National Congress,374346,6552,380898,36.74
3,REKHA CHAUDHARY,Bahujan Samaj Party,7478,275,7753,0.75
4,ADVOCATE SANJAY SHARMA,Independent,2304,15,2319,0.22
5,DR KEHAR SINGH,Independent,2129,49,2178,0.21
6,JEEVAN KUMAR,Akhil Bhartiya Parivar Party,1441,35,1476,0.14
7,NARAIN SINGH DOGRA,Himachal Janta Party,1125,46,1171,0.11
8,BHUVNESH KUMAR,Rashtriya Devbhumi Party,701,55,756,0.07
9,DEV RAJ BHARDWAJ,Rashtriya Samaj Dal (R),588,19,607,0.06
10,ACHAL SINGH,Independent,491,54,545,0.05
11,NOTA,None of the Above,6260,112,6372,0.61
