S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,656979,2595,659574,60.23
2,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,389384,1408,390792,35.68
3,VIJAY BHACHRA,Bahujan Samaj Party,6075,36,6111,0.56
4,VANAZARA HIRABEN DALPATBHAI,Independent,5145,6,5151,0.47000000000000003
5,BABULAL LADHA CHAVDA,Independent,3348,6,3354,0.31
6,KAVITABEN DINESHBHAI MACHCHHOYA,Independent,3342,24,3366,0.31
7,DEVABHAI MITHABHAI GOHIL,Rashtriya Power Party,2087,14,2101,0.19
8,SHAMLIA VIRJI CHAKU,Hindvi Swarajyay Dal,1560,13,1573,0.14
9,ARVIND ASHOK SANGHELA,Gujarat Sarva Samaj Party,1509,17,1526,0.14
10,BOCHIYA BHIMJI BHIKHA,Sarva Samaj Janata Party,1491,6,1497,0.14
11,RAMJIBHAI JAKHUBHAI DAFDA,Right to Recall Party,1357,13,1370,0.13
12,NOTA,None of the Above,18604,138,18742,1.71
