S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39
2,KAMPA BORGOYARI,Bodoland Peoples Front,432768,4644,437412,35.23
3,GARJAN MASHAHARY,Indian National Congress,112624,1112,113736,9.16
4,BINITA DEKA,Gana Suraksha Party,93266,923,94189,7.59
5,PRITHVIRAJ NARAYAN DEV MECH,Independent,33636,101,33737,2.7199999999999998
6,GAURI SANKAR SARANIA,All India Trinamool Congress,23362,157,23519,1.8900000000000001
7,RANJAY KR BRAHMA,Independent,8782,48,8830,0.71
8,LALIT PEGU,Voters Party International,7891,41,7932,0.64
9,JYOTISH KUMAR DAS,Independent,5944,162,6106,0.49
10,PANKAJ ISLARY,Independent,4473,35,4508,0.36
11,TRIPTINA RABHA,Independent,4425,115,4540,0.37
12,AJOY NARZARY,Independent,4032,48,4080,0.33
13,NOTA,None of the Above,13662,250,13912,1.12
