S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,712172,1028,713200,49.01
2,SHASHI SINGH KORAM,Indian National Congress,647329,1049,648378,44.55
3,DR. L. S. UDAY SINGH,Gondvana Gantantra Party,15626,25,15651,1.08
4,SANJAY KUMAR,Bahujan Samaj Party,15182,17,15199,1.04
5,RAMADHAR SINGH,Independent,10857,4,10861,0.75
6,PRINCE ABHISHEK KUJUR,Independent,6803,12,6815,0.47000000000000003
7,URMILA SINGH,Independent,5779,5,5784,0.4
8,ARVIND KACHHAP,Independent,4166,18,4184,0.29
9,KANTA MINJ,Akhil Bhartiya Parivar Party,4008,8,4016,0.28
10,JEROME MINJ,Bharat Adivasi Party,3035,25,3060,0.21
11,NOTA,None of the Above,28107,14,28121,1.9300000000000002
