S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,156836,7560,164396,42.71
2,BHARAT BASNETT,Citizen Action Party-Sikkim,78666,4900,83566,21.71
3,PREM DAS RAI,Sikkim Democratic Front,75464,1707,77171,20.05
4,LATEN TSHERING SHERPA,Independent,20197,1066,21263,5.52
5,DINESH CHANDRA NEPAL,Bharatiya Janata Party,18788,247,19035,4.95
6,SAMBHU CHETTRI,Independent,4682,8,4690,1.22
7,KHARGA BHADUR RAI,Sikkim Republican Party,4591,208,4799,1.25
8,GOPAL CHETTRI,Indian National Congress,2190,51,2241,0.58
9,NAWIN KIRAN PRADHAN,Independent,1121,45,1166,0.30000000000000004
10,RAVI CHANDRA RAI,Independent,1077,46,1123,0.29
11,BEENA RAI,Independent,1066,59,1125,0.29
12,SHYAMAL PAL,Independent,735,5,740,0.19
13,RUDRA MANI PRADHAN,Independent,512,7,519,0.13
14,MADHUKAR DHAKAL,Independent,511,21,532,0.14
15,NOTA,None of the Above,2433,94,2527,0.66
