S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BIPLAB KUMAR DEB,Bharatiya Janata Party,868484,12857,881341,72.85
2,ASISH KUMAR SAHA,Indian National Congress,265912,3851,269763,22.3
3,RAMENDRA REANG,Independent,8899,33,8932,0.74
4,ARUN KUMAR BHAUMIK,Socialist Unity Centre Of India (COMMUNIST),8617,167,8784,0.73
5,GOURI SANKAR NANDI,Independent,8074,40,8114,0.67
6,MILAN PADA MURASING,Independent,6625,27,6652,0.55
7,BALARAM DEBBARMA,Independent,4356,123,4479,0.37
8,BRAJALAL DEBNATH,Independent,3656,27,3683,0.30000000000000004
9,ARNAB ROY,Republican Party of India (A),3420,29,3449,0.29
10,NOTA,None of the Above,14444,168,14612,1.21
