S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUNIL KUMAR,Janata Dal (United),522495,927,523422,47.5
2,DEEPAK YADAV,Rashtriya Janata Dal,422959,1788,424747,38.55
3,PRAVESH KUMAR MISHRA @ ANUP,Independent,23195,30,23225,2.11
4,DINESH AGRAWAL,Independent,19787,23,19810,1.8
5,DURGESH SINGH CHAUHAN,Bahujan Samaj Party,18739,77,18816,1.71
6,CHANDRESHWAR MISHRA,Independent,13590,8,13598,1.23
7,SHAFI MOHAMMAD MIYA,Aazad Samaj Party (Kanshi Ram),13419,13,13432,1.22
8,PARSHURAM SAH,Independent,12142,8,12150,1.1
9,NABA KUMAR SARANIA (HIRA BHAI),Gana Suraksha Party,11420,3,11423,1.04
10,SHAMBHU PRASAD,Independent,10478,20,10498,0.9500000000000001
11,NOTA,None of the Above,30673,36,30709,2.79
