S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,614196,3548,617744,44.12
2,SURENDRA SINGH BHOI,Biju Janata Dal,483964,1116,485080,34.64
3,MANOJ KUMAR MISHRA,Indian National Congress,229577,1297,230874,16.49
4,SUNIL KUMAR BHOI,Socialist Unity Centre Of India (COMMUNIST),10334,21,10355,0.74
5,JAGADISH CHANDRA BIBHAR,Bahujan Samaj Party,9404,65,9469,0.68
6,BALRAM SINGH YADAV,Independent,8637,37,8674,0.62
7,MADHUSUDAN BARIK,Ambedkarite Party of India,7239,13,7252,0.52
8,BALARAM SA,Independent,6092,5,6097,0.44
9,AKSHAYA DISHRI,National Apni Party,5465,4,5469,0.39
10,RAJESH KUMAR PANDA,Ekam Sanatan Bharat Dal,3163,7,3170,0.23
11,NOTA,None of the Above,16010,54,16064,1.15
