S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54.0
2,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84
3,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51
4,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88
5,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49
6,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16
7,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11
8,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09
9,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07
10,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06
11,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05
12,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05
13,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05
14,NOTA,None of the Above,22371,144,22515,1.63
