S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHAN PAL,Bharatiya Janata Party,787332,1237,788569,53.6
2,MAHENDER PRATAP SINGH,Indian National Congress,614908,747,615655,41.84
3,KISHAN THAKUR,Bahujan Samaj Party,25164,42,25206,1.71
4,SUNIL TEWATIA,Indian National Lok Dal,8057,28,8085,0.55
5,NALIN HOODA,Jannayak Janta Party,5335,26,5361,0.36
6,SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal,2951,4,2955,0.2
7,NEERAJ JATAV,Independent,2104,4,2108,0.14
8,HARI SHANKER RAJVANS,Adim Bhartiya Dal,1584,-,1584,0.11
9,ATUL,Independent,1456,2,1458,0.1
10,PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY,1439,5,1444,0.1
11,BRIJABALA,Peoples Party of India (Democratic),1370,10,1380,0.09
12,SHYAM SUNDER SINGH,Bhartiya Shakti Chetna Party,1247,-,1247,0.08
13,MAHESH PRATAP SHARMA,Rashtriya Vikas Party,1237,3,1240,0.08
14,SATAY DEO YADAV,Buland Bharat Party,953,2,955,0.06
15,RANDHEER SINGH ALIAS DHEERU KHATANA,Akhil Bhartiya Kisan Majdoor Party,919,5,924,0.06
16,SUNIL KUMAR,Independent,888,1,889,0.06
17,BHARAT BHUSHAN KOLI,Rashtra Nirman Party,807,1,808,0.05
18,SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party,769,2,771,0.05
19,GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party,751,5,756,0.05
20,RAJESH GAUTAM,Independent,662,1,663,0.05
21,SWAMI RAJENDRA DEV JI,Independent,660,3,663,0.05
22,GIRRAJ,Independent,612,2,614,0.04
23,LEKHRAM DABANG,Independent,610,5,615,0.04
24,SHAKILA HUSSAIN,Loktantrik Janshakti Party,547,4,551,0.04
25,NOTA,None of the Above,6808,13,6821,0.46
