S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,581678,5735,587413,47.56
2,SUNIL BABURAO MENDHE,Bharatiya Janata Party,546222,3811,550033,44.53
3,KUMBHALKAR SANJAY BHAIYY,Bahujan Samaj Party,25104,358,25462,2.06
4,SANJAY GAJANAN KEWAT,Vanchit Bahujan Aaghadi,24528,330,24858,2.01
5,SEWAKBHAU NIRDHAN WAGHAYE,Independent,12899,204,13103,1.06
6,AJAYKUMAR BHARTIYA,Akhil Bhartiya Parivar Party,3998,59,4057,0.33
7,SUMIT VIJAY PANDE,Independent,3719,-,3719,0.30000000000000004
8,VIRENDRAKUMAR KASTURCHAND JAISWAL,Independent,2382,7,2389,0.19
9,DEVILAL SUKHRAM NEPALE,Peoples Party of India (Democratic),2000,9,2009,0.16
10,DR. AKASH MADHUKAR JIBHAKATE,Independent,1972,9,1981,0.16
11,VILAS BABURAO LENDE,Lok Swarajya Party,1624,25,1649,0.13
12,VILAS JIYALAL RAUT,Independent,1611,5,1616,0.13
13,BENIRAM RAMCHAND FULBANDHE,Independent,1482,15,1497,0.12
14,PRADEEP DHOBALE,Independent,1163,33,1196,0.1
15,SURYAKIRAN ISHWAR NANDAGAWALI,Independent,1132,30,1162,0.09
16,ITWALE SHARAD MARTAND,Independent,1020,8,1028,0.08
17,TULSIRAM URKUDA GEDAM,Independent,831,11,842,0.07
18,CHAITRAM DASHARATH KOKASE,Independent,780,11,791,0.06
19,NOTA,None of the Above,10106,162,10268,0.8300000000000001
