S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44
2,PROF C RAVEENDRANATH,Communist Party of India (Marxist),327382,3035,330417,34.73
3,K A UNNIKRISHNAN,Bharath Dharma Jana Sena,105706,694,106400,11.18
4,ADV CHARLY PAUL,Twenty 20 Party,105020,622,105642,11.11
5,ROSILIN CHACKO,Bahujan Samaj Party,2377,33,2410,0.25
6,BOSCO KALAMASSERY,Independent,1071,16,1087,0.11
7,SUBRAN K R,Independent,789,10,799,0.08
8,DR M PRADEEPAN,Socialist Unity Centre Of India (COMMUNIST),688,6,694,0.07
9,ARUN EDATHADAN,Independent,662,24,686,0.07
10,T S CHANDRAN,Independent,481,50,531,0.06
11,JOHNSON K C,Independent,379,8,387,0.04
12,NOTA,None of the Above,8021,42,8063,0.85
