S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRALHAD JOSHI,Bharatiya Janata Party,713649,2582,716231,52.41
2,VINOD ASOOTI,Indian National Congress,617616,1291,618907,45.29
3,SHAKEELAHMAD.D.MULLA,Independent,5866,6,5872,0.43
4,S. S. PATIL,Independent,5153,8,5161,0.38
5,RAJU ANANTSA NAIKWADI,Independent,3601,-,3601,0.26
6,JAVEED AHAMED BELGAUMKAR.,Naki Bharatiya Ekta Party,3551,7,3558,0.26
7,SHARANABASAV GONAVAR,Socialist Unity Centre Of India (COMMUNIST),1148,19,1167,0.09
8,BALANAGOUDRA MALLIKARJUNAGOUDA,Independent,986,1,987,0.07
9,TAKAPPA YALLAPPA KALAL,Prahar Janshakti Party,901,4,905,0.07
10,BUGADI BASAVALINGAPPA IRAPPA,Uttama Prajaakeeya Party,796,4,800,0.06
11,NAGARAJ. KARENNAVAR.,Karnataka Rashtra Samithi,553,2,555,0.04
12,PRAVEEN H. H.,Independent,545,3,548,0.04
13,DR. GURAPPA H IMRAPUR,Independent,510,4,514,0.04
14,BANKAPUR SHOUKATALI,Tipu Sultan Party,464,9,473,0.03
15,VINOD DASHARATH GHODKE,"Proutist Bloc, India",409,2,411,0.03
16,VENKATESH PRASAD. H,Indian Labour Party (Ambedkar Phule),334,3,337,0.02
17,MOHAMMED ISMAIL MUKTI,Bharatiya Prajagala Kalyana Paksha,313,4,317,0.02
18,NOTA,None of the Above,6126,21,6147,0.45
