S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. RAJESH MISHRA,Bharatiya Janata Party,582664,895,583559,50.87
2,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,376336,807,377143,32.87
3,AJAY PRATAP SINGH,Gondvana Gantantra Party,50897,65,50962,4.44
4,PUJAN RAM SAKET (BABBU),Bahujan Samaj Party,33617,39,33656,2.93
5,LAXMAN SINGH BAIS,Independent,30634,28,30662,2.67
6,SANJAY NAMDEO,Communist Party of India,20284,6,20290,1.77
7,BHAGWAN PRASAD TIWARI,Independent,7330,1,7331,0.64
8,SUNIL TIWARI,Independent,5694,5,5699,0.5
9,SHYAMLAL VAISH,Bhartiya Shakti Chetna Party,5340,3,5343,0.47000000000000003
10,KAILASH PRASAD VERMA,Independent,5289,2,5291,0.46
11,MAHENDRA BHAIYA,Independent,4658,-,4658,0.41000000000000003
12,DASHRATH PRASAD BAIS,Independent,4131,-,4131,0.36
13,"NARAYAN DAS SHAH ""MULNIWASI""",Peoples Party of India (Democratic),3791,1,3792,0.33
14,DADDI YADAV,Independent,3301,4,3305,0.29
15,SMT. TARA DEVI SINGH,Rashtriya Jansanchar Dal,2701,6,2707,0.24
16,RAMSAHAY SAHU,Aapka Gantantra Party,2430,2,2432,0.21
17,RAMVISHAL KOL,Rashtriya Samaj Paksha,2079,8,2087,0.18
18,NOTA,None of the Above,4212,4,4216,0.37
