S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97
2,K. J. SHINE TEACHER,Communist Party of India (Marxist),230059,1873,231932,25.47
3,DR. K. S. RADHAKRISHNAN,Bharatiya Janata Party,143573,927,144500,15.87
4,ADV. ANTONY JUDY,Twenty 20 Party,39658,150,39808,4.37
5,VAYALAR JAYAKUMAR,Bahujan Samaj Party,1480,18,1498,0.16
6,SANDEEP RAJENDRAPRASAD,Independent,734,18,752,0.08
7,CYRILL SKARIA,Independent,663,27,690,0.08
8,PRATHAPAN,Bahujan Dravida Party,414,5,419,0.05
9,BRAHMAKUMAR,Socialist Unity Centre Of India (COMMUNIST),409,3,412,0.05
10,ROHIT KRISHNAN,Independent,408,8,416,0.05
11,NOTA,None of the Above,7715,43,7758,0.85
