S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75
2,UDAY SHANKAR HAZARIKA,Indian National Congress,458720,3145,461865,38.13
3,DHIREN KACHARI,Communist Party of India,19562,69,19631,1.62
4,GHANA KANTA CHUTIA,All India Trinamool Congress,14055,142,14197,1.17
5,BIKRAM RAMCHIARY,Independent,10218,75,10293,0.85
6,GOBIN BISWAKARMA,Independent,7461,65,7526,0.62
7,DEBA NATH PAIT,Independent,6143,20,6163,0.51
8,PALLAB PEGU,Socialist Unity Centre Of India (COMMUNIST),6051,86,6137,0.51
9,BIREN BAILUNG,Voters Party International,5329,30,5359,0.44
10,NOTA,None of the Above,16716,205,16921,1.4
