S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUKHDEO BHAGAT,Indian National Congress,476112,6926,483038,49.95
2,SAMIR ORAON,Bharatiya Janata Party,339685,4215,343900,35.56
3,CHAMRA LINDA,Independent,45082,916,45998,4.76
4,MAHENDRA ORAON,Communist Party of India,16776,17,16793,1.74
5,SHANIYA ORAON,Independent,10894,17,10911,1.13
6,GIRJANANDAN URAON,Bahujan Samaj Party,9103,45,9148,0.9500000000000001
7,MARIANUS TIGGA,Independent,9100,31,9131,0.9400000000000001
8,STEPHAN KINDO,Independent,7594,5,7599,0.79
9,BIHARI BHAGAT,Peoples Party of India (Democratic),7558,44,7602,0.79
10,RANJEET BHAGAT,Independent,5510,17,5527,0.5700000000000001
11,RAMCHANDRA BHAGAT,Lokhit Adhikar Party,4303,7,4310,0.45
12,PAWAN TIGGA,Independent,3685,28,3713,0.38
13,ARPAN DEO BHAGAT,Independent,2796,18,2814,0.29
14,ARJUN TOPPO,Independent,2706,41,2747,0.28
15,MANI MUNDA,Bhagidari Party(P),2490,20,2510,0.26
16,NOTA,None of the Above,11304,80,11384,1.18
