S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR.MALLU RAVI,Indian National Congress,459259,5813,465072,38.14
2,BHARATH PRASAD POTHUGANTI,Bharatiya Janata Party,364898,5760,370658,30.4
3,DR.R.S.PRAVEEN KUMAR,Bharat Rashtra Samithi,319216,2127,321343,26.36
4,AMBOJU RAVI,Alliance of Democratic Reforms Party,12544,10,12554,1.03
5,BESAMOLLA YOSEF,Bahujan Samaj Party,7138,80,7218,0.59
6,PILLELA SRIKANTH,Independent,6403,1,6404,0.53
7,BUDDHULA SRINIVAS,Independent,4358,3,4361,0.36
8,PALADHI NAGARAJU,Independent,4056,2,4058,0.33
9,AMARNATH,India Praja Bandhu Party,3703,6,3709,0.30000000000000004
10,PULJALA BALAIAH,Independent,3582,2,3584,0.29
11,GALIMUDI GEETHA,Independent,3145,2,3147,0.26
12,KARNE. SHIREESHA @ BARRELAKKA,Independent,3037,50,3087,0.25
13,PAKIRA RAMULU,Independent,2833,6,2839,0.23
14,BIKSHAPATHI LANDA,Independent,1980,1,1981,0.16
15,AYYAPPA SUNIL,Rashtriya Praja Congress (Secular),1224,3,1227,0.1
16,GADDAM VIJAY,Bahujan Mukti Party,1006,3,1009,0.08
17,PRASANGI,Pyramid Party of India,892,-,892,0.07
18,VAGGU VINAY,Vidhyarthula Rajakiya Party,768,2,770,0.06
19,DASARI BHARATHI,Viduthalai Chiruthaigal Katchi,722,8,730,0.06
20,NOTA,None of the Above,4511,69,4580,0.38
