S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,716635,1775,718410,57.88
2,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,456943,1061,458004,36.9
3,BELE RAJESH WARLUJI,Vanchit Bahujan Aaghadi,21934,46,21980,1.77
4,RAJENDRA HARISHCHANDRA RAMTEKE,Bahujan Samaj Party,9145,43,9188,0.74
5,SANJAY NILKANTH GAWANDE,Independent,5087,1,5088,0.41000000000000003
6,DIWAKAR HARIJI URADE,Independent,3221,3,3224,0.26
7,NAMDEO MANIKRAO SHEDMAKE,Gondvana Gantantra Party,2238,18,2256,0.18
8,SEWAKDAS KAWDUJI BARKE,Peoples Party of India (Democratic),1997,1,1998,0.16
9,AWACHIT SHAMRAO SAYAM,Janseva Gondwana Party,1886,20,1906,0.15
10,MILIND PRALHAD DAHIWALE,Independent,1759,2,1761,0.14
11,ASHOK RANAJI RATHOD,Jay Vidarbha Party,1660,10,1670,0.13
12,VIKAS UTTAMRAO LASANTE,Sanman Rajkiya Paksha,1518,2,1520,0.12
13,VIDYASAGAR KALIDAS KASARLAWAR,Bhim Sena,1426,-,1426,0.11
14,VANITA JITENDRA RAUT,Akhil Bharatiya Manavata Paksha,1054,3,1057,0.09
15,PURNIMA DILIP GHONMODE,Bahujan Republican Socialist Party,967,6,973,0.08
16,NOTA,None of the Above,10821,22,10843,0.87
