S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. MAHESH SHARMA,Bharatiya Janata Party,855413,2416,857829,59.69
2,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,297697,660,298357,20.76
3,RAJENDRA SINGH SOLANKI,Bahujan Samaj Party,250962,653,251615,17.51
4,BHIM PRAKASH JIGYASU,Viro Ke Vir Indian Party,3873,2,3875,0.27
5,MOHD. MUMTAJ AALAM,Independent,2818,3,2821,0.2
6,SHIVAM ASHUTOSH,Independent,2637,4,2641,0.18
7,MANISH KUMAR DWIVEDI,Akhil Bhartiya Parivar Party,1769,3,1772,0.12
8,KISHOR SINGH,National Party,1739,28,1767,0.12
9,MAHKAR SINGH,Independent,1118,6,1124,0.08
10,KM. SHALU,Loktantrik Janshakti Party,1020,30,1050,0.07
11,PARAG KAUSHIK,Independent,945,1,946,0.07
12,NARESH NAUTIYAL,Bhartiya Rashtriya Jansatta,931,10,941,0.07
13,RAN SINGH DUDEE,Super Power India Party,905,3,908,0.06
14,RAJEEV MISHRA,Jai Hind National Party,642,15,657,0.05
15,NARAVEDASHVAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),615,2,617,0.04
16,NOTA,None of the Above,10286,38,10324,0.72
