S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KUNDURU RAGHUVEER,Indian National Congress,772264,12073,784337,60.5
2,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,219606,4826,224432,17.31
3,KANCHARLA KRISHNA REDDY,Bharat Rashtra Samithi,216681,1736,218417,16.85
4,JANAIAH NANDIPATI,Telangana Sakalajanula Party,10832,27,10859,0.84
5,NAGARAJU BANDARU,Independent,7122,6,7128,0.55
6,ANJAIAH VIRIGINENI,Bahujan Samaj Party,7075,102,7177,0.55
7,MARAM VENKAT REDDY,Independent,5962,5,5967,0.46
8,PANUGOTU LALASINGH,Independent,5277,9,5286,0.41000000000000003
9,THALARI RAMBABU,Dharma Samaj Party,5028,94,5122,0.4
10,RAMESH SUNKARA,Independent,3566,3,3569,0.28
11,POLISHETTY VENKATESHWARLU,Independent,3202,10,3212,0.25
12,KUKKALA VENKANNA,Independent,2561,5,2566,0.2
13,CHOLLETI PRABHAKAR,Independent,2482,22,2504,0.19
14,GOLI SAIDULU,Independent,1770,9,1779,0.14
15,MARRI NEHEMIAH,Independent,1653,9,1662,0.13
16,RAVI PALAKURI,Independent,1545,2,1547,0.12
17,VASKULA MATTAIAH,Marxist Communist Party of India (United),1033,7,1040,0.08
18,KUNDARAPU SRIKANTH,Independent,940,7,947,0.07
19,RACHA SUBHADRA REDDY,Socialist Party (India),835,11,846,0.07
20,LINGAM KRISHNA,Independent,666,-,666,0.05
21,KINNERA YADAIAH,Independent,654,7,661,0.05
22,SHIRISHALA SRINAIAH,Independent,513,1,514,0.04
23,NOTA,None of the Above,5869,217,6086,0.47000000000000003
