S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MALAIYARASAN D,Dravida Munnetra Kazhagam,558346,3243,561589,44.94
2,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,505577,2228,507805,40.64
3,JAGADESAN A,Naam Tamilar Katchi,73098,554,73652,5.89
4,DEVADASS RAMASAMY,Pattali Makkal Katchi,70633,657,71290,5.71
5,PRABU C,Independent,4268,7,4275,0.34
6,BALAKRISHNAN P,Independent,3468,1,3469,0.28
7,JEEVANRAJ N,Bahujan Samaj Party,3075,21,3096,0.25
8,MAYILAMPARAI MARI A,Independent,2891,1,2892,0.23
9,NATTANMAI GUNASEKARANA A.S,Anna Makkal Katchi,2497,8,2505,0.2
10,KUMARAGURU N,Independent,2226,1,2227,0.18
11,MURUGESAN M,Independent,2223,2,2225,0.18
12,SUBRAMANIAN R K,Independent,868,4,872,0.07
13,ARUL INIYAN A,Independent,772,12,784,0.06
14,VENKATRAMAN J,Naadaalum Makkal Katchi,687,4,691,0.06
15,KAMALAKANNAN M,Independent,629,1,630,0.05
16,GOVINDARAJ S R,Independent,533,25,558,0.04
17,PALANIYAMMAL S,Desiya Makkal Sakthi Katchi,533,15,548,0.04
18,SIGAMANI A,Independent,515,27,542,0.04
19,RAJASEKAR K,Independent,501,10,511,0.04
20,JAYABAL PM,Independent,473,3,476,0.04
21,RAJAMANICKAM C,Independent,398,1,399,0.03
22,NOTA,None of the Above,8351,181,8532,0.68
