S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,FAGGAN SINGH KULASTE,Bharatiya Janata Party,749761,1614,751375,48.93
2,OMKAR SINGH MARKAM,Indian National Congress,645759,1770,647529,42.17
3,MAHESH KUMAR WATTEE,Gondvana Gantantra Party,37686,111,37797,2.46
4,INDAR SINGH UIKEY,Bahujan Samaj Party,16587,30,16617,1.08
5,CHANDRA SINGH KUSHRAM,Bhartiya Shakti Chetna Party,15533,25,15558,1.01
6,SITAR MARKAM,Independent,10365,10,10375,0.68
7,RAKESH SINGH THAKUR,Independent,10340,6,10346,0.67
8,DR. BHAW SINGH TEKAM,Independent,6393,8,6401,0.42
9,CHARAN SINGH DHURWEY,Bharat Adivasi Party,4269,18,4287,0.28
10,ADVOCATE-DEV SINGH KUMRE,Independent,4205,12,4217,0.27
11,GHUR SINGH SALLAM,Independent,3959,12,3971,0.26
12,KALIYA BAI KAKODIA,Independent,2990,11,3001,0.2
13,ASHOK SARAIYA,Independent,2717,10,2727,0.18
14,RAMKUMAR INWATI [ADVOCATE],Smart Indians Party,2499,11,2510,0.16
15,NOTA,None of the Above,18887,34,18921,1.23
