S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,B.Y.RAGHAVENDRA,Bharatiya Janata Party,775731,2990,778721,56.54
2,GEETHA SHIVARAJKUMAR,Indian National Congress,533622,1384,535006,38.85
3,K. S. ESHWARAPPA,Independent,29959,91,30050,2.18
4,BANDI,Independent,7265,1,7266,0.53
5,RAVIKUMARA N.,Independent,4551,1,4552,0.33
6,POOJA N. ANNAIAH,Independent,3454,3,3457,0.25
7,A.D. SHIVAPPA,Bahujan Samaj Party,2772,7,2779,0.2
8,N. V. NAVEEN KUMAR,Independent,1992,1,1993,0.14
9,ARUNA KANAHALLI,Uttama Prajaakeeya Party,1475,3,1478,0.11
10,E.H. NAYAK,Independent,953,1,954,0.07
11,JOHN BENNY,Independent,863,4,867,0.06
12,GANESH. B (BELLI),Independent,736,11,747,0.05
13,D.S. ESHWARAPPA,Independent,687,8,695,0.05
14,KUNAJE MANJUNATHA GOWDA,Independent,671,12,683,0.05
15,S.K PRABHU,Karnataka Rashtra Samithi,611,6,617,0.04
16,SHIVARUDRAIAH SWAMY,Independent,599,-,599,0.04
17,IMTIYAZ A. ATTAR,Independent,440,2,442,0.03
18,MOHAMMED YUSUF KHAN,Young Star Empowerment Party,403,1,404,0.03
19,G. JAYADEVA,Independent,367,1,368,0.03
20,CHANDRASHEKAR. H C,Independent,352,5,357,0.03
21,P. SRIPATHI. BHAT,Independent,343,1,344,0.02
22,SANDESH SHETTY. A,Independent,292,1,293,0.02
23,H SURESH POOJARI,Independent,219,1,220,0.02
24,NOTA,None of the Above,4311,21,4332,0.31
