S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BHARTI PARDHI,Bharatiya Janata Party,709939,2721,712660,51.56
2,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,536333,1815,538148,38.93
3,KANKAR MUNJARE,Bahujan Samaj Party,52883,251,53134,3.84
4,BHUVAN SINGH KORAM,Independent,13028,46,13074,0.9500000000000001
5,NANDLAL UIKEY,Gondvana Gantantra Party,12338,84,12422,0.9
6,D.L. MANESHWAR,Peoples Party of India (Democratic),9994,23,10017,0.72
7,DHANENDRA DEV PAWAR BANWARI SETH,Independent,7185,60,7245,0.52
8,MAHADEV NAGDEVE,Independent,7181,11,7192,0.52
9,RAJKUMAR NAGESHWER,Independent,6723,5,6728,0.49
10,MOHAN RAUT,Rashtravadi Bharat Party,3537,5,3542,0.26
11,PRIYANKA SANJAY BHANDARKAR,Bhartiya Shakti Chetna Party,2906,20,2926,0.21
12,ADVOCATE SATYAPRAKASH SHULKE (LODHI),Madhya Pradesh Jan Vikas Party,1929,3,1932,0.14
13,DILEEP CHHABDA,Independent,1733,17,1750,0.13
14,NOTA,None of the Above,11479,31,11510,0.8300000000000001
