S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16
2,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17
3,J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33
4,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53
5,NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23
6,BUSSA. NAGARAJU,Independent,1311,7,1318,0.1
7,GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08
8,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07
9,KONDRU KIRAN KUMAR,Independent,791,6,797,0.06
10,KATTA ANAND BABU,Independent,704,25,729,0.06
11,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05
12,KATTA HEMANAND,Independent,547,2,549,0.04
13,PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03
14,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02
15,CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02
16,NOTA,None of the Above,13599,124,13723,1.06
