S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,707428,9455,716883,68.46
2,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,256902,4692,261594,24.98
3,RATHOD DINESHBHAI LAKHABHAI,Bahujan Samaj Party,9989,141,10130,0.97
4,ANILBHAI NARENDRABHAI CHAVDA,Swatantrata Abhivyakti Party,7574,45,7619,0.73
5,PARMAR RAJESHKUMAR PREMJIBHAI,New India United Party,6456,37,6493,0.62
6,KALANIYA SAGARBHAI POPATBHAI,Aapki Awaaz Party,6039,48,6087,0.58
7,SANJAYBHAI MAGANBHAI MAKAWANA,Independent,4131,22,4153,0.4
8,HARSH GOKLANI,Independent,3593,41,3634,0.35000000000000003
9,SHRI MULSHANKARBHAI RAGHURAMBHAI CHAUHAN,Independent,3386,20,3406,0.33
10,SHRI TIDABHAI DEVSHIBHAI,Gujarat Sarva Samaj Party,2641,44,2685,0.26
11,BHUPATBHAI MOHANBHAI VALA,Right to Recall Party,2370,24,2394,0.23
12,NARESHBHAI NARANBHAI RATHOD,Independent,1745,20,1765,0.17
13,BRAHMAKSHTRIYA BHAGVATIBEN KHETSINH,Independent,1562,62,1624,0.16
14,NOTA,None of the Above,17717,1048,18765,1.79
