S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),490432,2103,492535,42.49
2,BABURAO KADAM KOHALIKAR,Shiv Sena,382599,1334,383933,33.12
3,DR. B. D. CHAVHAN,Vanchit Bahujan Aaghadi,161324,490,161814,13.96
4,AMBADAS SUKAJI GADE,Independent,14729,13,14742,1.27
5,VIJAY RAMJI GABHANE,Communist Party of India (Marxist),14617,27,14644,1.26
6,ANAND RAJARAM DHULE,Independent,9807,10,9817,0.85
7,GAJANAN DHONDBA DAL,Bahujan Samaj Party,7410,55,7465,0.64
8,DATTA SHRIKRISHNA SURYAWANSHI,Independent,7233,6,7239,0.62
9,SARJERAO NIVRUTTI KHANDARE,Independent,5010,4,5014,0.43
10,RAMPRASAD NARAYAN BANGAR,Independent,4518,7,4525,0.39
11,BABURAO ANANDRAO KADAM,Independent,4469,13,4482,0.39
12,DEVSARKAR VARSHA SHIVAJIRAO,Bahujan Mukti Party,4081,18,4099,0.35000000000000003
13,A. KADIR MASTAN SAYYED (GOREGAONKAR),Independent,3707,6,3713,0.32
14,ANIL DEVRAO MOHITE,Akhil Bhartiya Parivar Party,3353,21,3374,0.29
15,SUNIL MOTIRAM GAJBHAR,Independent,3192,-,3192,0.28
16,ADV ALTAF AHMED,Indian National League,2934,16,2950,0.25
17,ASHOK PANDURANG RATHOD,Independent,2897,9,2906,0.25
18,ADV RAVI SHINDE,Independent,2687,14,2701,0.23
19,SATTAR PATHAN,Independent,2461,2,2463,0.21
20,MAHESH KAILAS NAPTE,Independent,2298,1,2299,0.2
21,ADV. SHIVAJIRAO JADHAV,Independent,2181,33,2214,0.19
22,BHAWAR GOVINDRAO FULAJI,Independent,2138,8,2146,0.19
23,TRISHALA MILIND KAMBLE,Bahujan Samaj Party (Ambedkar),2128,22,2150,0.19
24,PRAKASH MASARAM RANVIR,Republican Party of India (A),2097,5,2102,0.18
25,ADV. RAMRAO ATMARAM JUMBADE,Independent,2095,9,2104,0.18
26,DESHA SHYAM BANJARA,Samnak Janta Party,2052,11,2063,0.18
27,VISHVANATH BHAURAO FALEGAONKAR,Independent,1856,3,1859,0.16
28,HEMANT RADHAKISHAN KANAKE,Rashtriya Kisan Bahujan Party,1791,9,1800,0.16
29,RAVI RAMDAS JADHAV (SAWANEKAR),Abhinav Bharat Janseva Paksh,1590,12,1602,0.14
30,DEWJI GANGARAM ASOLE,Independent,1476,7,1483,0.13
31,VIJAY DNYANBA RAUT,Independent,1115,11,1126,0.1
32,SUNIL DASHARATH INGOLE,Bhim Sena,1024,4,1028,0.09
33,VASANT KISAN PAIKRAO,Independent,590,3,593,0.05
34,NOTA,None of the Above,3079,44,3123,0.27
