S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BAIJAYANT PANDA,Bharatiya Janata Party,612916,2789,615705,48.21
2,ANSHUMAN MOHANTY,Biju Janata Dal,547681,1488,549169,43.0
3,SIDHARTH SWARUP DASH,Indian National Congress,94595,237,94832,7.43
4,SOUBHAGYA KETAN SAMAL,Socialist Unity Centre Of India (COMMUNIST),3393,2,3395,0.27
5,SEKHA SADIKA HOSEN,Bahujan Samaj Party,1845,7,1852,0.15
6,SUPRAVA DAS,Akhil Bhartiya Parivar Party,1559,2,1561,0.12
7,SRIRAM PANDEY,Independent,1397,2,1399,0.11
8,SANTOSH KUMAR PATRA,Independent,1370,3,1373,0.11
9,PRATAP CHANDRA MOHANTY,Independent,1088,7,1095,0.09
10,PRANGYAN PRAKASH MOHAPATRA,Odisha Janata Party,910,2,912,0.07
11,NOTA,None of the Above,5807,8,5815,0.46
