S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,618569,1180,619749,55.71
2,AJAY NISHAD,Indian National Congress,383759,1063,384822,34.59
3,ALOK KUMAR SINH,Independent,17225,-,17225,1.55
4,AWADHESH PRASAD SINGH,Independent,15617,1,15618,1.4
5,JITENDRA KUMAR,Independent,8692,8,8700,0.78
6,NILIMA KUMARI,Independent,7309,1,7310,0.66
7,VIJAYESH KUMAR,Bahujan Samaj Party,6530,17,6547,0.59
8,AJAY SAHNI,Independent,5157,1,5158,0.46
9,SUNITA KUMARI,Bajjikanchal Vikas Party,4791,1,4792,0.43
10,MOHAMMAD ANZARUL HASAN,All India Majlis-E-Ittehadul Muslimeen,4121,10,4131,0.37
11,MD HAIDAR,Independent,3897,-,3897,0.35000000000000003
12,MUKESH KUMAR,Independent,3225,-,3225,0.29
13,SUDHIR KUMAR OJHA,Bhartiya Sarthak Party,2890,3,2893,0.26
14,SABINA KHATOON,Indian National League,2445,8,2453,0.22
15,SANDIP KUMAR,Jantantra Awaj Party,1968,3,1971,0.18
16,ARVIND KUMAR CHAUDHARY,Socialist Unity Centre Of India (COMMUNIST),1852,5,1857,0.17
17,AJITANSH GAUR,The Agrani Party,1840,3,1843,0.17
18,SANJAY KUMAR,Independent,1811,1,1812,0.16
19,BASKIT KUMAR SHARMA,Independent,1778,1,1779,0.16
20,SONELAL PASWAN,Independent,1730,1,1731,0.16
21,MANORANJAN KUMAR,Independent,1595,3,1598,0.14
22,NAND KISHORE SHARMA,Apna Kisan Party,1521,1,1522,0.14
23,ABHAY KUMAR,Samata Party,1170,4,1174,0.11
24,PRABHAKAR RANJAN,Ekam Sanatan Bharat Dal,1115,1,1116,0.1
25,RAJU SINGH,Independent,984,-,984,0.09
26,SAROJ KUMAR CHAUDHARY,Independent,965,-,965,0.09
27,NOTA,None of the Above,7539,49,7588,0.68
