S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BUNTY VIVEK SAHU,Bharatiya Janata Party,643489,1249,644738,49.41
2,NAKUL KAMALNATH,Indian National Congress,529931,1189,531120,40.7
3,DEVIRAM URF DEV RAVEN BHALAVI,Gondvana Gantantra Party,55854,134,55988,4.29
4,UMAKANT BANDEWAR,Bahujan Samaj Party,11802,21,11823,0.91
5,KAPIL SONI,Rashtriya Gondvana Party,9634,4,9638,0.74
6,SIRAJ SHEKH,Independent,9567,1,9568,0.73
7,PAWANSHAH SARYAM,Independent,6612,9,6621,0.51
8,SUBHASH SHUKLA,Independent,5768,1,5769,0.44
9,RAJENDRA DONGRE,Independent,4628,4,4632,0.35000000000000003
10,GOVIND BHALAVI,Independent,4022,7,4029,0.31
11,MOHD. PARVEZ QURESHI,Independent,3818,10,3828,0.29
12,AJAY BARKADE,Independent,2491,4,2495,0.19
13,KUSHWAHA RAJESH TANTRIK,Ahinsa Samaj Party,1695,3,1698,0.13
14,""" PRAKASH ALIAS BANTY "" PARTETI",Rashtra Samarpan Party,1652,2,1654,0.13
15,FOGAL BANSOD,Republican Party of India (A),1322,1,1323,0.1
16,NOTA,None of the Above,9887,16,9903,0.76
