S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SOUGATA RAY,All India Trinamool Congress,526289,2290,528579,41.95
2,SILBHADRA DATTA,Bharatiya Janata Party,456138,1781,457919,36.34
3,SUJAN CHAKRABORTY,Communist Party of India (Marxist),239418,1366,240784,19.11
4,SHEKH IMANUR RAHMAN,Independent,6410,1,6411,0.51
5,SWAMINATH KORI,Bahujan Samaj Party,3749,17,3766,0.30000000000000004
6,HIRAK SINHA,Independent,3144,3,3147,0.25
7,BANAMALI PANDA,Socialist Unity Centre Of India (COMMUNIST),1728,11,1739,0.14
8,DULU DEY,Independent,1688,6,1694,0.13
9,MANIKA MUKHERJEE,Bharatiya Nyay-Adhikar Raksha Party,1231,6,1237,0.1
10,SANTANU MANDAL,Democratic Socialist Party of India,880,5,885,0.07
11,TRIDIB BHUNIA,Independent,765,7,772,0.06
12,GOURI BISWAS,Independent,698,3,701,0.06
13,SUBRATA BHOWMIK,Mera Bharat Mahan Party,602,2,604,0.05
14,HARI PADA BISWAS,Mulnibasi Party of India,465,9,474,0.04
15,NOTA,None of the Above,11256,78,11334,0.9
