S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BIBHU PRASAD TARAI,Bharatiya Janata Party,585672,3421,589093,45.8
2,DR. RAJASHREE MALLICK,Biju Janata Dal,546443,1954,548397,42.63
3,RABINDRA KUMAR SETHY,Indian National Congress,122875,695,123570,9.61
4,RAMESH CHANDRA SETHY,Communist Party of India,8112,18,8130,0.63
5,PEEYUUSH DAS,Ambedkarite Party of India,3225,5,3230,0.25
6,BIBHUTI BHUSAN MAJHI,Bahujan Samaj Party,2718,22,2740,0.21
7,MAHESWAR DAS,Socialist Unity Centre Of India (COMMUNIST),2374,10,2384,0.19
8,SANKAR DAS,Independent,1476,12,1488,0.12
9,SILI MALLICK,Samruddha Odisha,924,6,930,0.07
10,ARJUNA CHARAN BEHERA,Independent,758,8,766,0.06
11,BHANUMATI DAS,Utkal Samaj,674,3,677,0.05
12,NOTA,None of the Above,4852,30,4882,0.38
