S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,760130,4002,764132,53.97
2,PADMARAJ.R.POOJARY,Indian National Congress,612103,2821,614924,43.43
3,KANTHAPPA ALANGAR,Bahujan Samaj Party,4202,30,4232,0.30000000000000004
4,DURGA PRASAD,Karunada Sevakara Party,2578,14,2592,0.18
5,SUPREETH KUMAR POOJARY KATEEL,Independent,1884,17,1901,0.13
6,MAXIM PINTO,Independent,1654,36,1690,0.12
7,PRAJAAKEEYA MANOHARA,Uttama Prajaakeeya Party,964,7,971,0.07
8,DEEPAK RAJESH COELHO,Independent,950,26,976,0.07
9,RANJINI. M,Karnataka Rashtra Samithi,758,18,776,0.05
10,NOTA,None of the Above,23515,61,23576,1.67
