S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. ALOK KUMAR SUMAN,Janata Dal (United),510329,1537,511866,48.15
2,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,383065,1621,384686,36.19
3,DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,29900,92,29992,2.8200000000000003
4,SUJEET KUMAR RAM,Bahujan Samaj Party,29145,127,29272,2.75
5,ANIL RAM,Independent,12988,14,13002,1.22
6,SATYENDRA BAITHA,Independent,12253,16,12269,1.15
7,BHOLA HARIJAN,Independent,11138,2,11140,1.05
8,RAM KUMAR MANJHI,Gana Suraksha Party,8531,9,8540,0.8
9,NAMI RAM,Independent,6716,-,6716,0.63
10,SURENDRA RAM,Bhartiya Rashtriya Dal,6673,39,6712,0.63
11,JITENDRA RAM,Bahujan Mukti Party,5942,27,5969,0.56
12,NOTA,None of the Above,42713,150,42863,4.03
