S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,810529,1618,812147,64.99
2,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,379868,583,380451,30.44
3,RAMGOVIND BARUAA,Bahujan Samaj Party,15344,43,15387,1.23
4,PANDIT DIVYENDRA BRIJMOHAN DUBEY ADVOCATE,Bharatiya Yuva Jan Ekta Party,6157,11,6168,0.49
5,RAKESH RAMPRASAD RICKY,Independent,5071,8,5079,0.41000000000000003
6,SARJERAO SAHARE,Independent,4487,6,4493,0.36
7,PATRAKAR TILAK JATAV,Independent,2257,3,2260,0.18
8,YUVRAJ GAVADE,Independent,2205,10,2215,0.18
9,JYOTI SURESH JHARIYA,Independent,2033,13,2046,0.16
10,MAKHAN SINGH LODHI,Bhartiya Shakti Chetna Party,1651,6,1657,0.13
11,MUKESH YADAV,Independent,1578,10,1588,0.13
12,PANDIT BRAJESH KHEMARIYA,Independent,1251,9,1260,0.1
13,NOTA,None of the Above,14927,14,14941,1.2
