S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,1111556,4904,1116460,76.7
2,PRATAPBHANU SHARMA,Indian National Congress,293537,1515,295052,20.27
3,KISHAN LAL LADIYA,Bahujan Samaj Party,10734,82,10816,0.74
4,KAMLESH KUMAR GOUR,Jai Prakash Janata Dal,8167,11,8178,0.56
5,DHOOLSINGH DHAMMA,Independent,3417,7,3424,0.24
6,SATYENDRA SINGH SISODIYA,Independent,2921,4,2925,0.2
7,DHARMVIR BHARTI,Akhil Bhartiya Parivar Party,2809,10,2819,0.19
8,ABDUL RASHID,Independent,1679,3,1682,0.12
9,BHAI MUNSHILAL SILAWAT,Public Political Party,1114,3,1117,0.08
10,ABDUL JABBAR,Independent,1076,6,1082,0.07
11,SEEMA SHARMA,Sapaks Party,1065,8,1073,0.07
12,DHARMENDRA SINGH PANWAR (GOLU BHAIYA),Right to Recall Party,1025,1,1026,0.07
13,BHEEKAM SINGH KUSHWAHA,Mahanwadi Party,720,4,724,0.05
14,NOTA,None of the Above,9218,62,9280,0.64
