S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33
2,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24
3,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3.0
4,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45
5,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44
6,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4
7,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35000000000000003
8,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2
9,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18
10,P.CHOWDESWARI,Independent,1514,4,1518,0.11
11,VADLA KESAVAIAH,Independent,1488,6,1494,0.1
12,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09
13,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08
14,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08
15,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06
16,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05
17,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05
18,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04
19,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04
20,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03
21,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03
22,NOTA,None of the Above,9014,185,9199,0.64
