S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ALOK SHARMA,Bharatiya Janata Party,978285,2824,981109,65.48
2,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,478698,912,479610,32.01
3,BHANU PRATAP SINGH,Bahujan Samaj Party,13255,50,13305,0.89
4,DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent,3639,2,3641,0.24
5,JAY SINGH,Independent,2509,1,2510,0.17
6,BHARTI YADAV,Independent,1833,6,1839,0.12
7,ANKIT RAI,Independent,1100,1,1101,0.07
8,DHANRAJ SHENDE,Republican Party of India (A),788,2,790,0.05
9,AJAY KUMAR PATHAK,Chhatrapati Shivaji Bhartiya Garib Party,787,3,790,0.05
10,MOHAMMAD ASHRAF,Independent,777,1,778,0.05
11,BABULAL SEN,Moulik Adhikar Party,718,2,720,0.05
12,SANJAY KUMAR SAROJ,Manav Samadhan Party,621,1,622,0.04
13,BALRAM SINGH TAUMAR,Bhartiya Shakti Chetna Party,587,1,588,0.04
14,RAMPRASAD PATEL,Kranti Janshakti Party,572,3,575,0.04
15,MUDIT CHAURASIA,Akhil Bhartiya Aarakshit Samaj Party,541,3,544,0.04
16,MUDIT BHATNAGAR,Socialist Unity Centre Of India (COMMUNIST),537,3,540,0.04
17,R.K. MAHAJAN,Independent,527,2,529,0.04
18,ABDUL TAHIR ADVOCATE (BABLU RAJNIKANT) S/O SAEED PAHELWAN ANSARI,Bahujan Maha Party,473,-,473,0.03
19,MAITHILI SHARAN GUPTA,Independent,447,1,448,0.03
20,RAJESH KEER,Independent,427,-,427,0.03
21,AKSHAY GOTHI,Parivartan Party of India,403,4,407,0.03
22,HITENDRA SHAHARE (BABA),Independent,318,-,318,0.02
23,NOTA,None of the Above,6573,48,6621,0.44
