S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,685734,2981,688715,61.59
2,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,352238,2800,355038,31.75
3,MEDA DEVENDRAKUMAR LAXMANBHAI,Independent,11068,7,11075,0.99
4,BHABHOR DHULABHAI DITABHAI,Bahujan Samaj Party,8621,11,8632,0.77
5,BARIYA MANILAL HIRABHAI,Independent,6576,12,6588,0.59
6,DAMOR VESTABHAI JOKHANABHAI,Independent,4374,26,4400,0.39
7,DAMOR MANABHAI BHAVSINGBHAI,Independent,3144,29,3173,0.28
8,JAGDISHBHAI MANILAL MEDA,Bharatiya National Janata Dal,3053,9,3062,0.27
9,PASAYA NAVALSINH MULABHAI,Saath Sahakar Vikas Party,2667,6,2673,0.24
10,NOTA,None of the Above,34774,164,34938,3.12
