S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJKUMAR CHAHAR,Bharatiya Janata Party,442862,2795,445657,43.09
2,RAMNATH SINGH SIKARWAR,Indian National Congress,400572,1680,402252,38.9
3,PT. RAMNIWAS SHARMA,Bahujan Samaj Party,120143,396,120539,11.66
4,DR RAMESHWAR SINGH,Independent,48301,305,48606,4.7
5,KALLAN KUMBHKAR,Independent,3458,5,3463,0.33
6,HOTAM SINGH NISHAD,Rashtriya Shoshit Samaj Party,1805,5,1810,0.18
7,GIRRAJ SINGH DHAKREY,"Proutist Bloc, India",1556,8,1564,0.15
8,SANGEETA TOMAR,Bharatiya Majdoor Janta Party,1417,16,1433,0.14
9,VED PRAKASH,Rashtriya Jansanchar Dal,1031,7,1038,0.1
10,NOTA,None of the Above,7764,29,7793,0.75
