S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68
2,GOVINDRAM MEGHWAL,Indian National Congress,506966,4060,511026,45.7
3,KHETA RAM,Bahujan Samaj Party,8249,50,8299,0.74
4,ATMA RAM GUJARATI,Independent,6267,14,6281,0.56
5,RATANI DEVI,Independent,3894,32,3926,0.35000000000000003
6,SATYANARAYAN DEVRA,Independent,2958,8,2966,0.27
7,PUKHRAJ NAYAK,Independent,2621,54,2675,0.24
8,BABU LAL,Independent,2010,9,2019,0.18
9,GOPI CHAND MEGHWAL,Independent,1787,8,1795,0.16
10,NOTA,None of the Above,12431,127,12558,1.12
