S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAKIBUL HUSSAIN,Indian National Congress,1468549,3336,1471885,59.99
2,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,458202,1207,459409,18.72
3,ZABED ISLAM,Asom Gana Parishad,435822,2772,438594,17.88
4,S. M. JIAUL HAQUE,Bharatiya Gana Parishad,11978,128,12106,0.49
5,FARUK KHAN,Independent,10986,8,10994,0.45
6,BISWAJIT RAY,Independent,7615,88,7703,0.31
7,ALAKESH ROY,Independent,6950,40,6990,0.28
8,HAFIZ BURHANUDDIN,The National Road Map Party of India,6934,6,6940,0.28
9,RADHARANI BISWAS,Hindu Samaj Party,6137,150,6287,0.26
10,TAHIDUR RAHMAN,Voters Party International,5384,8,5392,0.22
11,SHUKUR ALI,Asom Jana Morcha,4749,43,4792,0.2
12,SURAT ZAMAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),3984,31,4015,0.16
13,REJAUL KARIM,Republican Party of India (Athawale),3481,5,3486,0.14
14,NOTA,None of the Above,14912,103,15015,0.61
