S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BACHHAV SHOBHA DINESH,Indian National Congress,582492,1374,583866,47.89
2,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,577778,2257,580035,47.57
3,BHARAT BABURAO JADHAV,Independent,19695,18,19713,1.62
4,ZAHOOR AHAMAD MOHAMAD YUSUF (JAM JAM),Bahujan Samaj Party,4955,18,4973,0.41000000000000003
5,SANJAY RAMESHWAR SHARMA,Independent,3741,5,3746,0.31
6,SHAFEEQUE AHEMAD MD. RAFEEQUE,Independent,3706,1,3707,0.30000000000000004
7,NAMDEO ROHIDAS YELAVE,Bharatheeya Jawan Kisan Party,3659,24,3683,0.30000000000000004
8,ADV SACHIN UMAJI NIKAM,Independent,3657,3,3660,0.30000000000000004
9,RAJ CHAVAN,Independent,3443,9,3452,0.28
10,MOHAMMAD ISMAIL JUMMAN,Independent,1084,1,1085,0.09
11,SURESH JAGANNATH BRAHMANKAR (SURESH BAPU),Independent,1035,3,1038,0.09
12,PATIL SHIVAJI NATHU,All India Forward Bloc,994,7,1001,0.08
13,SHAIKH MOHAMMAD ZAID SHAMIM AHMED,Welfare Party Of India,946,5,951,0.08
14,MOHAMMAD AAMEEN MOHAMMAD FARUQUE,Independent,833,2,835,0.07
15,MUQEEM MEENA NAGRI,Bhim Sena,773,8,781,0.06
16,IRFAN. MO. ISHAK (NADIR),Independent,763,-,763,0.06
17,MALAY PRAKASH PATIL,Independent,734,2,736,0.06
18,ABDUL HAFEEZ ABDUL HAQUE,Independent,576,1,577,0.05
19,NOTA,None of the Above,4661,32,4693,0.38
