S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,IQRA CHOUDHARY,Samajwadi Party,526887,1126,528013,48.9
2,PRADEEP KUMAR,Bharatiya Janata Party,456075,2822,458897,42.5
3,SRIPAL,Bahujan Samaj Party,75978,222,76200,7.06
4,JAHID,Social Democratic Party Of India,3316,4,3320,0.31
5,SHOKINDER KUMAR,Independent,1983,2,1985,0.18
6,MANOJ RANA,Independent,1925,11,1936,0.18
7,VIKAS KUMAR,Independent,1098,2,1100,0.1
8,OMBEER,Azad Adhikar Sena,1088,8,1096,0.1
9,VIKRAM SINGH,Independent,897,3,900,0.08
10,PRITI KASHYAP,Rashtriya Mazdoor Ekta Party,781,10,791,0.07
11,VIKRAM SAINI,Akhand Bharat Swatantra Party,776,4,780,0.07
12,YOGESH,Independent,664,6,670,0.06
13,MOHD KADIR,Independent,436,6,442,0.04
14,NAND KISHOOR,Aapki Apni Party (Peoples),420,7,427,0.04
15,NOTA,None of the Above,3213,36,3249,0.30000000000000004
