S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MANOJ TIWARI,Bharatiya Janata Party,821567,2884,824451,53.1
2,KANHAIYA KUMAR,Indian National Congress,684501,1172,685673,44.16
3,ASHOK KUMAR,Bahujan Samaj Party,12053,85,12138,0.78
4,SUNITA,Navarang Congress Party,3518,-,3518,0.23
5,AKESHAN DUT,Independent,3325,-,3325,0.21
6,SUSHIL CHOUDHARY,Aapki Apni Party (Peoples),2066,4,2070,0.13
7,AJAY TIWARI,Right to Recall Party,2040,2,2042,0.13
8,SUBHASH,Rashtriya Janmorcha,1639,-,1639,0.11
9,AKASH SRIVASTAV,Jai Hind National Party,1317,-,1317,0.08
10,SANJEEV KUMAR PANDEY,Bharatiya Liberal Party,1163,-,1163,0.07
11,SAROJ KUMAR RAY,Independent,931,66,997,0.06
12,ADV. BHIM KISHOR,Peoples Party of India (Democratic),826,1,827,0.05
13,SANJEEV KUMAR,Public Political Party,799,-,799,0.05
14,PRAKASH DEVI,Socialist Unity Centre Of India (COMMUNIST),676,-,676,0.04
15,LAKSHYA VASHIST (SHYAM),Jindabad Kranti Party,653,-,653,0.04
16,BABITA YADAV,Aazad Samaj Party (Kanshi Ram),646,-,646,0.04
17,MANOJ KUMAR,Independent,559,2,561,0.04
18,NIVEDITA SHARMA “PREM”,Rashtrawadi Janlok Party (Satya),541,2,543,0.03
19,DR. RAJESH KUMAR SINGH,Independent,539,1,540,0.03
20,KANHI LAL,Swatantra Jantaraj Party,496,2,498,0.03
21,VIJAY KUMAR JHA,Independent,486,5,491,0.03
22,YOGESH SWAMY,Independent,410,-,410,0.03
23,ASHOK MISHRA,Independent,352,-,352,0.02
24,ADV. K.T. PALUSKAR,Prabuddha Republican Party,349,-,349,0.02
25,RAVI KIRAN THILAK THATIKONDA,Independent,324,-,324,0.02
26,ISHWAR CHAND,Bharatrashtra Democratic Party,310,-,310,0.02
27,JAGDISH,Rashtriya Samaj Paksha,276,-,276,0.02
28,BIRPAL SINGH KOLI,Independent,269,1,270,0.02
29,NOTA,None of the Above,5845,28,5873,0.38
