S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RADHESHYAM RATHIYA,Bharatiya Janata Party,806667,1608,808275,55.63
2,DR. MENKA DEVI SINGH,Indian National Congress,566487,1397,567884,39.08
3,INNOCENT KUJUR - BIDANA ORAON,Bahujan Samaj Party,15493,107,15600,1.07
4,ALBERT MING,Hamar Raj Party,10915,44,10959,0.75
5,PRAKASH KUMAR URANW,Independent,7719,3,7722,0.53
6,RUPNARAYAN EKKA,Independent,7410,10,7420,0.51
7,GOWARDHAN RATHIA,Independent,4591,2,4593,0.32
8,POOJA SIDAR,Independent,4159,8,4167,0.29
9,MADAN PRASAD GOND,Gondvana Gantantra Party,3007,8,3015,0.21
10,GULESHWAR PAINKRA,Bhartiya Shakti Chetna Party,2618,8,2626,0.18
11,UDAY KUMAR RATHIA,Independent,2127,2,2129,0.15
12,ABHAY KUMAR EKKA,Independent,1808,17,1825,0.13
13,BADAL EKKA,Sarv Adi Dal,1714,14,1728,0.12
14,NOTA,None of the Above,14993,29,15022,1.03
