S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,61.05
2,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394,6033,426427,34.51
3,PEDADA PARAMESWARA RAO,Indian National Congress,6724,448,7172,0.58
4,SANAPALA SRAVAN KUMAR,Independent,5950,8,5958,0.48
5,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661,81,4742,0.38
6,VABA YOGESWARA RAO,Independent,3472,126,3598,0.29
7,BETHA VIVEKANANDA MAHARAJ,Independent,2523,13,2536,0.21
8,YEDDU LAKSHMINARAYANA,Independent,1598,7,1605,0.13
9,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315,42,1357,0.11
10,IPPILI SEETHARAJU,Jai Bharat National Party,1080,50,1130,0.09
11,KAYA DURGARAO,Navarang Congress Party,811,7,818,0.07
12,CHELLURI DANIYAL,Independent,796,20,816,0.07
13,BOMMALI TIRUPATI RAO,Pyramid Party of India,589,5,594,0.05
14,NOTA,None of the Above,24498,107,24605,1.99
