S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,575291,2048,577339,46.53
2,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,462333,1807,464140,37.4
3,BABU SADU BHAGRE (SIR),Independent,103526,106,103632,8.35
4,DHOMSE MALATI RAHUL,Vanchit Bahujan Aaghadi,37006,97,37103,2.99
5,JAGTAP DIPAK GANPAT,Independent,15664,17,15681,1.26
6,TULSHIRAM CHIMAN KHOTARE,Bahujan Samaj Party,9589,65,9654,0.78
7,KISHOR AMBADAS DAGALE,Ambedkarite Party of India,8032,23,8055,0.65
8,ANIL GAWALIRAM BARDE,Independent,6432,9,6441,0.52
9,BHARAT ARUN PAWAR,Bahujan Republican Socialist Party,5613,8,5621,0.45
10,GULAB MOHAN BARDE,Prabuddha Republican Party,4983,15,4998,0.4
11,NOTA,None of the Above,8206,40,8246,0.66
