S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RODMAL NAGAR,Bharatiya Janata Party,756139,2604,758743,53.1
2,DIGVIJAYA SINGH,Indian National Congress,610602,2052,612654,42.87
3,DR. RAJENDRA SURYAVANSHI,Bahujan Samaj Party,13902,40,13942,0.98
4,ASHOK PAWAR,Samata Samadhan Party,6597,17,6614,0.46
5,JITENDRA SINGH,National World Leader Party,5051,12,5063,0.35000000000000003
6,DINESH RAZAWAT,Aazad Samaj Party (Kanshi Ram),4170,9,4179,0.29
7,RODMAL,Independent,3733,11,3744,0.26
8,ANIL JAIN,Independent,3069,20,3089,0.22
9,RADHESHYAM MALVIYA,Independent,2796,3,2799,0.2
10,SUNEEL BHEEL,Independent,2703,10,2713,0.19
11,VISHAL SONI (ADVOCATE),Bharatiya Yuva Jan Ekta Party,2544,16,2560,0.18
12,JAGDISH KARPENTER,Independent,1730,4,1734,0.12
13,ANIL,Independent,1414,4,1418,0.1
14,RAMCHARAN PIRJAPATI,Lok Samaj Party,1292,2,1294,0.09
15,BABU SINGH,Sajag Samaj Party,1186,5,1191,0.08
16,NOTA,None of the Above,7248,12,7260,0.51
