S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. HEMANG JOSHI,Bharatiya Janata Party,865825,7364,873189,72.04
2,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,287570,3493,291063,24.01
3,JADAV AMITKUMAR RAMJIBHAI,Bahujan Samaj Party,7473,56,7529,0.62
4,RAJESH RATHOD,Independent,5416,53,5469,0.45
5,ANILBHAI SHARMA,Hindrashtra Sangh,3436,17,3453,0.28
6,DR. RAHUL VASUDEVBHAI VYAS,Independent,2731,21,2752,0.23
7,PARMAR MAYURSINH ARVINDSINH,Independent,2122,86,2208,0.18
8,NILKANTHKUMAR MANSUKHLAL MISTRI,Independent,1748,8,1756,0.14
9,PARMAR HEMANTKUMAR ARVINDBHAI,Independent,1388,23,1411,0.12
10,TAPAN DASGUPTA,Socialist Unity Centre Of India (COMMUNIST),1252,23,1275,0.11
11,ATUL GAMECHI,Independent,1061,23,1084,0.09
12,PARTHIV VIJAYKUMAR DAVE,Right to Recall Party,1052,5,1057,0.09
13,NILESH JAGANNATH VASAIKAR,Independent,840,18,858,0.07
14,DOSHI HARDIK BIPINBHAI,Satyawadi Rakshak Party,643,14,657,0.05
15,NOTA,None of the Above,17823,565,18388,1.52
