S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABHISHEK BANERJEE,All India Trinamool Congress,1043493,4737,1048230,68.48
2,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,336068,1232,337300,22.03
3,PRATIK UR RAHAMAN,Communist Party of India (Marxist),86507,446,86953,5.68
4,MAJNU LASKAR,All India Secular Front,21109,30,21139,1.38
5,SUBRATA BOSE,Independent,9819,6,9825,0.64
6,DASARATHI PAIK,Bahujan Samaj Party,7082,29,7111,0.46
7,MALAY GUHA ROY,Independent,2963,8,2971,0.19
8,PULAKESH MONDAL,Independent,1945,3,1948,0.13
9,KALIMUDDIN SK,Indian National Socialistic Action Forces,1579,11,1590,0.1
10,RAMKUMAR MONDAL,Socialist Unity Centre Of India (COMMUNIST),1411,7,1418,0.09
11,ANISUR RAHAMAN SK,Independent,1152,7,1159,0.08
12,KASHINATH MONDAL,Independent,961,24,985,0.06
13,NOTA,None of the Above,10134,54,10188,0.67
