S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29
2,SHIV CHANDRA RAM,Rashtriya Janata Dal,442553,3060,445613,38.57
3,SURENDRA KUMAR PASWAN,Independent,17241,4,17245,1.49
4,SHASHI SWARAJ,Bahujan Samaj Party,8591,88,8679,0.75
5,HARIWANSH PASWAN,Independent,7113,4,7117,0.62
6,SHAILENDRA KUMAR,Independent,6153,8,6161,0.53
7,ASHOK KUMAR,Samata Party,4701,20,4721,0.41000000000000003
8,RANDHIR PASWAN,Independent,2671,4,2675,0.23
9,RAJ KUMAR PASWAN,Yuva Bihar Sena,1983,7,1990,0.17
10,DHARMENDRA KUMAR,Jantantra Awaj Party,1971,7,1978,0.17
11,MADHUSUDHAN PASWAN,Independent,1793,8,1801,0.16
12,RAJESH KUMAR RAUSHAN,Socialist Unity Centre Of India (COMMUNIST),1694,7,1701,0.15
13,MEGHNATH PASWAN,Independent,1680,-,1680,0.15
14,BALENDRA DAS,Janshakti Janta Dal,1308,10,1318,0.11
15,NOTA,None of the Above,36836,91,36927,3.2
