S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78
2,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358,10090,542448,41.03
3,Y.S. SHARMILA REDDY,Indian National Congress,136395,4644,141039,10.67
4,PANDITI. GURAPPA.,Bahujan Samaj Party,3790,20,3810,0.29
5,VENU GOPAL RACHINENI,Rashtriya Praja Congress (Secular),3500,70,3570,0.27
6,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414,16,2430,0.18
7,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329,4,2333,0.18
8,L. KHAJA HUSSAIN,Independent,1087,1,1088,0.08
9,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752,3,755,0.06
10,KAKARLA SHANMUKHA REDDY,Independent,633,14,647,0.05
11,PALLE RAMESH,Jaibhim Rao Bharat Party,619,5,624,0.05
12,CHAN BASHA. S,Anna YSR Congress Party,432,7,439,0.03
13,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414,20,434,0.03
14,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358,11,369,0.03
15,NOTA,None of the Above,16660,186,16846,1.27
