S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),614517,2212,616729,49.85
2,GODSE HEMANT TUKARAM,Shiv Sena,453414,1314,454728,36.75
3,KARAN PANDHARINATH GAIKAR,Vanchit Bahujan Aaghadi,47114,79,47193,3.81
4,SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,44415,109,44524,3.6
5,ARUN MADHUKAR KALE,Bahujan Samaj Party,7698,53,7751,0.63
6,CHANDRAKANT KESHAVRAO THAKUR,Independent,6607,1,6608,0.53
7,AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,4980,17,4997,0.4
8,DARSHANA AMOL MEDHE,Prabuddha Republican Party,4730,6,4736,0.38
9,KANOJE PRAKASH GIRDHARI,Independent,3917,3,3920,0.32
10,VAMAN MAHADEV SANGALE,Dharmarajya Paksha,3861,-,3861,0.31
11,SUDHIR SHRIDHAR DESHMUKH,Independent,3162,5,3167,0.26
12,JITENDRA NARESH BHABHE (JITENDRA BHAVE),Independent,3125,7,3132,0.25
13,ARIF USMAN MANSURI,Independent,2538,5,2543,0.21
14,GANESH BALASAHEB BORASTE,Independent,2403,1,2404,0.19
15,JAYSHRI MAHENDRA PATIL,Sainik Samaj Party,2398,28,2426,0.2
16,SIDDHESHWARANAND SARASWATI,Independent,2378,10,2388,0.19
17,SUSHAMA ABHIJIT GORANE,Independent,2258,2,2260,0.18
18,KANTILAL KISAN JADHAV,Ambedkarite Party of India,2047,8,2055,0.17
19,CHANDRABHAN AABAJI PURKAR,Independent,1888,2,1890,0.15
20,YASHWANT VALU PARDHI,Bhartiya Asmita Party,1867,7,1874,0.15
21,KAILASH MARUTI CHAVAN,Aam Janta Party (India),1686,17,1703,0.14
22,KAMLAKAR BALASAHEB GAIKWAD,Dalit Soshit Pichhara Varg Adhikar Dal,1639,7,1646,0.13
23,DHANAJI ASHOK TOPALE,Independent,1376,-,1376,0.11
24,BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,1242,2,1244,0.1
25,SOPAN NIVRUTTI SOMWANSHI,Independent,1210,1,1211,0.1
26,ADV. ZUNJAR MHASUJI AVHAD,Bahujan Republican Socialist Party,1205,5,1210,0.1
27,KOLAPPA HANUMANT DHOTRE,Independent,1198,2,1200,0.1
28,TILOTTAMA SUNIL JAGTAP,Independent,654,2,656,0.05
29,DEEPAK GAIKWAD,Independent,640,2,642,0.05
30,SACHINRAJE DATTATREYA DEORE,Independent,549,2,551,0.04
31,DEVIDAS PIRAJI SARKATE,Independent,392,2,394,0.03
32,NOTA,None of the Above,6144,41,6185,0.5
