S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SAYANI GHOSH,All India Trinamool Congress,714049,3850,717899,45.83
2,DR. ANIRBAN GANGULY,Bharatiya Janata Party,457307,2391,459698,29.35
3,SRIJAN BHATTACHARYYA,Communist Party of India (Marxist),256951,1761,258712,16.52
4,NUR ALAM KHAN,All India Secular Front,83291,71,83362,5.32
5,RANJIT KUMAR MANDAL,Independent,13021,9,13030,0.8300000000000001
6,HOSEN GAZI,Independent,4925,2,4927,0.31
7,SANDIP NATH,Bahujan Samaj Party,4434,28,4462,0.28
8,KALPANA NASKAR DATTA,Socialist Unity Centre Of India (COMMUNIST),4416,35,4451,0.28
9,BALARAM MANDAL,Independent,2829,6,2835,0.18
10,TANUSHREE MONDAL,Independent,2419,8,2427,0.15
11,SHANKAR MANDAL,Independent,1439,3,1442,0.09
12,SRI GOPAN SARDAR,Mulnibasi Party of India,1366,7,1373,0.09
13,PURNIMA DEBNATH,Independent,1301,24,1325,0.08
14,CHANDRACHUR GOSWAMI,Independent,1112,2,1114,0.07
15,ARUN SARKAR,Independent,1107,3,1110,0.07
16,DIPAK SARDAR,Independent,924,3,927,0.06
17,NOTA,None of the Above,7316,99,7415,0.47000000000000003
