S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4
2,DR. DAMODAR GURJAR,Indian National Congress,385359,3621,388980,32.06
3,RAMAKISHAN BHADU,Bahujan Samaj Party,9097,38,9135,0.75
4,NEERU RAM KAPRI,Independent,7820,11,7831,0.65
5,DHARAM SINGH RAWAT,Independent,3993,60,4053,0.33
6,NARAYAN SONI,Independent,3367,7,3374,0.28
7,GHANSHYAM SINGH,Bhartiya Jan Adhikar Party,1917,23,1940,0.16
8,JITENDRA KUMAR KHATIK,Independent,1802,13,1815,0.15
9,DR. ARPIT CHHAJER,Independent,1235,9,1244,0.1
10,PRAMOD KUMAR VERMA,Bheem Tribal Congress,1134,10,1144,0.09
11,NOTA,None of the Above,12339,72,12411,1.02
