S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANIL FIROJIYA,Bharatiya Janata Party,834374,1730,836104,62.93
2,MAHESH PARMAR,Indian National Congress,459531,713,460244,34.64
3,ADVOCATE PRAKASH CHOUHAN,Bahujan Samaj Party,9502,16,9518,0.72
4,DR. HEMANT PARMAR,Bhim Sena,4973,3,4976,0.37
5,SURESH BAGARI,Independent,2786,5,2791,0.21
6,MAHESH PARMAR,Independent,2468,8,2476,0.19
7,GANGA MALVIYA,Independent,1288,7,1295,0.1
8,ANIL,Independent,979,2,981,0.07
9,ISHWARLAL VARSHI,Independent,860,3,863,0.06
10,NOTA,None of the Above,9310,22,9332,0.7000000000000001
