S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92
2,C P JOSHI,Indian National Congress,449528,3506,453034,34.73
3,RAMESHWAR LAL BAIRWA,Bahujan Samaj Party,8243,40,8283,0.64
4,RAJESH PATNI,Independent,8013,5,8018,0.61
5,JAYKISHAN,Viro Ke Vir Indian Party,4061,23,4084,0.31
6,MOTILAL SINGHANIA,Independent,3871,16,3887,0.30000000000000004
7,NARAYAN LAL JAT,Independent,1643,41,1684,0.13
8,PAWAN KUMAR SHARMA,Right to Recall Party,1609,8,1617,0.12
9,ANURAG AROT,Independent,1406,19,1425,0.11
10,VIJAY KUMAR SONI,Bhartiya Garib Vikas Kalyan Party,1340,7,1347,0.1
11,NOTA,None of the Above,13337,39,13376,1.03
