S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR C N MANJUNATH,Bharatiya Janata Party,1075553,3449,1079002,56.21
2,D K SURESH,Indian National Congress,807459,1896,809355,42.16
3,ABHISHEK K,Uttama Prajaakeeya Party,6191,11,6202,0.32
4,SURESH M N,Independent,3231,5,3236,0.17
5,HEMAVATHI K,Socialist Unity Centre Of India (COMMUNIST),1768,6,1774,0.09
6,J T PRAKASH,Independent,1468,4,1472,0.08
7,N KRISHNAPPA,Pyramid Party of India,1396,6,1402,0.07
8,C N MANJUNATHA,Bahujan Bharat Party,1350,50,1400,0.07
9,KUMAR L,Bharatiya Prajagala Kalyana Paksha,1052,14,1066,0.06
10,MAHAMAD MUSADIK PASHA,Karnataka Rashtra Samithi,817,4,821,0.04
11,NARASIMHAMURTHY J P,Independent,809,4,813,0.04
12,SURESH S,Karunaadu Party,792,6,798,0.04
13,VASIST J,Country Citizen Party,546,38,584,0.03
14,MOHAMMAD DASTAGEER,Young Star Empowerment Party,486,-,486,0.03
15,H V CHANDRASHEKAR,Viduthalai Chiruthaigal Katchi,473,7,480,0.03
16,NOTA,None of the Above,10633,16,10649,0.55
