S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SHOBHA KARANDLAJE,Bharatiya Janata Party,982805,3244,986049,56.27
2,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,725190,1383,726573,41.46
3,GOVINDAIAH,Bahujan Samaj Party,4614,17,4631,0.26
4,SANTHOSH M,Uttama Prajaakeeya Party,3450,11,3461,0.2
5,UDAYA SHANKAR.G,Prahar Janshakti Party,2676,2,2678,0.15
6,LAKSHMI SRIHARI.J.N.,Independent,2091,3,2094,0.12
7,DILIP KUMAR I.S.,Independent,1896,7,1903,0.11
8,K.M.MAHADEVA,Independent,1716,4,1720,0.1
9,K.V.NANJUNDASWAMY,Independent,1363,2,1365,0.08
10,SHOBHA,Independent,1272,8,1280,0.07
11,Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),1072,5,1077,0.06
12,NIRMALA H.L,Socialist Unity Centre Of India (COMMUNIST),972,5,977,0.06
13,H.R.NATARAJ,Independent,857,4,861,0.05
14,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,831,-,831,0.05
15,SHIVAKUMAR. B,Karnataka Rashtra Samithi,813,4,817,0.05
16,SUDHA. V,Independent,650,7,657,0.04
17,KRISHNAIAH,Rashtriya Samaj Dal (R),556,3,559,0.03
18,HEBBAL VENKATESH.J,Republican Party of India (A),422,3,425,0.02
19,"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,356,3,359,0.02
20,SHOBAN BABU V,Indian Labour Party (Ambedkar Phule),315,5,320,0.02
21,PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,313,-,313,0.02
22,NOTA,None of the Above,13499,55,13554,0.77
