S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GIRIRAJ SINGH,Bharatiya Janata Party,646912,2419,649331,50.15
2,ABDHESH KUMAR ROY,Communist Party of India,564310,3541,567851,43.86
3,INDRAJEET KUMAR ROY,Independent,12947,6,12953,1.0
4,RAJNISH KUMAR MUKHIYA,Rashtriya Jansambhavna Party,10846,26,10872,0.84
5,ADV CHANDAN KUMAR DAS,Bahujan Samaj Party,8362,91,8453,0.65
6,RAM BADAN RAI,Karpoori Janta Dal,6599,45,6644,0.51
7,MD SHAHNAWAZ HASSAN,Independent,6144,8,6152,0.48
8,ARUN KUMAR,Independent,4030,15,4045,0.31
9,RAJ KUMAR SAH,Akhil Bhartiya Parivar Party,3329,21,3350,0.26
10,RAMUDGAR,Socialist Unity Centre Of India (COMMUNIST),2633,7,2640,0.2
11,NOTA,None of the Above,22283,99,22382,1.73
