S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,793432,2431,795863,51.93
2,KANTILAL BHURIA,Indian National Congress,586904,1727,588631,38.41
3,ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,52525,234,52759,3.44
4,RAMCHANDRA SOLANKI,Bahujan Samaj Party,15159,13,15172,0.99
5,SURAJ BHABHAR,Independent,10060,2,10062,0.66
6,RANGLA KALESH,Independent,7331,4,7335,0.48
7,KASNA RANA PARGI,Independent,7311,5,7316,0.48
8,SUMITRA MEDA,Independent,6927,3,6930,0.45
9,RAMESHWAR SINGAR,Independent,4603,4,4607,0.30000000000000004
10,MOHANSINGH NINGWAL,Bhartiya Samajik Party,4503,4,4507,0.29
11,SHEETAL BARELA,Akhand Bharat Samrajya Party,3929,1,3930,0.26
12,UDESINGH MACHAR,Republican Party of India (A),3795,1,3796,0.25
13,NOTA,None of the Above,31697,38,31735,2.07
