S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73
2,SANJAY KUMAR,Communist Party of India (Marxist),375988,1538,377526,35.55
3,RUPAM DEVI,Independent,27370,25,27395,2.58
4,SONU KUMAR,Independent,24478,5,24483,2.31
5,PINKESH KUMAR,Rashtriya Jan Kalyan Party Secular,19487,8,19495,1.8399999999999999
6,DR RAVI KUMAR,Bahujan Samaj Party,13894,159,14053,1.32
7,AJAY KUMAR,Rashtriya Jansambhavna Party,8256,54,8310,0.78
8,PRIYADARSHEE DINKAR,Independent,7892,12,7904,0.74
9,DINANATH CHANDRAVANSHI,Independent,6142,20,6162,0.58
10,CHANDRA KISHOR THAKUR,Aam Janta Party Rashtriya,2806,43,2849,0.27
11,ASIF IMAM,Aadarsh Mithila Party,2434,9,2443,0.23
12,KANCHAN MALA,Hindustan People's Party (Democratic),1478,28,1506,0.14
13,NOTA,None of the Above,31056,55,31111,2.93
